First_junc_name,err_dist,Second_junction,,,
PRKD,,,,,
ETF,,,,,
ET,,,,,
 , , ,,,
PUNE,0.643328997,MJBK,,,
PUNE,,,,,
GIT,,,,,
HDP,,,,,
MJBK,,,,,
 , , ,,,
MJBK,0.003222549,LONI,,,
MJBK,,,,,
HPLX,,,,,
LONI,,,,,
 , , ,,,
LONI,0.800155704,XX-DDBC,,,
LONI,,,,,
URI,,,,,
YT,,,,,
KTT,,,,,
KDG,,,,,
KDTN,,,,,
PAA,,,,,
XX-DDBC,,,,,
 , , ,,,
XX-DDBC,0,DDCC,,,
XX-DDBC,,,,,
DDCC,,,,,
 , , ,,,
DDCC,7.241360077,PB,,,
DDCC,,,,,
KSTH,,,,,
SGND,,,,,
BWD,,,,,
VPR,,,,,
RNJD,,,,,
SRL,,,,,
AKR,,,,,
ANG,,,,,
NNB,,,,,
VL,,,,,
DAH,,,,,
VBR,,,,,
RRI,,,,,
TKMY,,,,,
PDGN,,,,,
NPW,,,,,
BAP,,,,,
CIT,,,,,
PB,,,,,
 , , ,,,
PB,3.130603914,ANK,,,
PB,,,,,
KNGN,,,,,
SNVR,,,,,
KPG,,,,,
YL,,,,,
ANK,,,,,
 , , ,,,
ANK,2.019015165,YY-MMRX,,,
ANK,,,,,
AAK,,,,,
YY-MMRX,,,,,
 , , ,,,
AVCD,0,NEWC,,,
AVCD,,,,,
NEWC,,,,,
 , , ,,,
NEWC,0,DDU,,,
NEWC,,,,,
DDU,,,,,
 , , ,,,
DDU,0.003078993,JTHT,,,
DDU,,,,,
MGMY,,,,,
MGSO,,,,,
JTHT,,,,,
 , , ,,,
JTHT,0.827809647,DLN,,,
JTHT,,,,,
EOCM,,,,,
KCA,,,,,
SLD,,,,,
TLAM,,,,,
DHA,,,,,
BHCL,,,,,
ZNA,,,,,
DRV,,,,,
DLN,,,,,
 , , ,,,
DLN,5.778802422,ARA,,,
DLN,,,,,
USK,,,,,
BWH,,,,,
KKRH,,,,,
GMR,,,,,
BQW,,,,,
CSA,,,,,
PWXP,,,,,
BXR,,,,,
NDON,,,,,
BUE,,,,,
KPHH,,,,,
DURE,,,,,
VVG,,,,,
TWG,,,,,
VKDH,,,,,
RPR,,,,,
SKRI,,,,,
BYN,,,,,
ASJP,,,,,
BEA,,,,,
RNTE,,,,,
XSAN,,,,,
KYA,,,,,
KRS,,,,,
MTBH,,,,,
JGWL,,,,,
ARA,,,,,
 , , ,,,
ARA,0.631910425,DNR,,,
ARA,,,,,
JMIR,,,,,
KUA,,,,,
KWR,,,,,
PAIL,,,,,
BTA,,,,,
PATL,,,,,
SDE,,,,,
GNHI,,,,,
NEO,,,,,
DNR,,,,,
 , , ,,,
NGP,6.037105927,SEGM,,,
NGP,,,,,
XX-NGPA,,,,,
AJNI,,,,,
AQX,,,,,
AQ,,,,,
ACDA,,,,,
KRI,,,,,
GMG,,,,,
BTBR,,,,,
BOK,,,,,
SNI,,,,,
TGP,,,,,
SLOR,,,,,
VADR,,,,,
SEGM,,,,,
 , , ,,,
SEGM,0,WR,,,
SEGM,,,,,
WR,,,,,
 , , ,,,
WR,2.674918076,XX-BDXO,,,
WR,,,,,
DAE,,,,,
KAOT,,,,,
PLO,,,,,
TLN,,,,,
DMN,,,,,
DIP,,,,,
CND,,,,,
MLR,,,,,
TMT,,,,,
XX-BDXO,,,,,
 , , ,,,
XX-BDXO,0.018730989,BD,,,
XX-BDXO,,,,,
BDLS,,,,,
BD,,,,,
 , , ,,,
BD,0.59242973,MZR,,,
BD,,,,,
BDYX,,,,,
BDRW,,,,,
TKI,,,,,
KUM,,,,,
MNDA,,,,,
MANA,,,,,
MZR,,,,,
 , , ,,,
MZR,0.312825945,AK,,,
MZR,,,,,
KTP,,,,,
BGN,,,,,
YAD,,,,,
AKB,,,,,
AK,,,,,
 , , ,,,
AK,2.438025513,XX-JMOA,,,
AK,,,,,
GAO,,,,,
PS,,,,,
NGZ,,,,,
SEG,,,,,
XX-JMOA,,,,,
 , , ,,,
XX-JMOA,2.804476995,BSCN,,,
XX-JMOA,,,,,
JM,,,,,
XX-JMOB,,,,,
NN,,,,,
KJL,,,,,
BIS,,,,,
WADO,,,,,
MKU,,,,,
KMKD,,,,,
KLHD,,,,,
BDWD,,,,,
ACG,,,,,
VNA,,,,,
BSCN,,,,,
 , , ,,,
BSCN,0,BSGS,,,
BSCN,,,,,
BSGS,,,,,
 , , ,,,
JL,10.09014515,XX-UDNC,,,
JL,,,,,
PLD,,,,,
CHLK,,,,,
DXG,,,,,
BHNE,,,,,
TKHE,,,,,
AN,,,,,
BRTK,,,,,
PDP,,,,,
BEW,,,,,
NDN,,,,,
HOL,,,,,
SNK,,,,,
SNSL,,,,,
VKH,,,,,
DDE,,,,,
RNL,,,,,
TISI,,,,,
CUE,,,,,
NDB,,,,,
DWD,,,,,
BAWD,,,,,
KBH,,,,,
KHTG,,,,,
CPD,,,,,
KFF,,,,,
NWU,,,,,
BBAI,,,,,
LKKD,,,,,
USD,,,,,
DSD,,,,,
KKRD,,,,,
VYA,,,,,
LTV,,,,,
KRAI,,,,,
MID,,,,,
MGRL,,,,,
TBV,,,,,
BIY,,,,,
GGAR,,,,,
BGMR,,,,,
CHM,,,,,
NOL,,,,,
XX-UDNC,,,,,
 , , ,,,
XX-UDNC,0,UDN,,,
XX-UDNC,,,,,
UDN,,,,,
 , , ,,,
UDN,0.925265593,AKV,,,
UDN,,,,,
ST,,,,,
URN,,,,,
KSE,,,,,
GTX,,,,,
SYN,,,,,
KDSD,,,,,
KIM,,,,,
KSB,,,,,
HAT,,,,,
PAO,,,,,
SNJL,,,,,
AKV,,,,,
 , , ,,,
AKV,0.154147808,BH,,,
AKV,,,,,
CCTA,,,,,
BH,,,,,
 , , ,,,
BH,1.030336983,VS,,,
BH,,,,,
XX-BHBC,,,,,
CVJ,,,,,
NIU,,,,,
VRE,,,,,
PLJ,,,,,
LKD,,,,,
MYG,,,,,
