First_junc_name,Second_junc_name,err_dist
HWH,0.14257184430765535,HWHG,
HWHG,0,SYAE,
SYAE,0,LLHW,
LLHW,0,BEQ,
BEQ,0,BLY,
BLY,0.3793420220167606,DKAE,
BDLC,0,BHW,
BHW,1.4964206012915908,TPH,
TPH,14.46542649006886,BGP,
BGP,3.742270267581528,JNQS,
JNQS,0,DLTR,
DLTR,1.3609620443477846,SBDP,
SBDP,0,SKJ,
BCA,2.1193815228081387,SPJ,
SPJ,2.0649181619825283,MFP,
MFP,2.8071274661794043,BHSA,
BHSA,1.1102333410683662,RXL,
RXL,1.4747662476296926,NKE,
NKE,15.300835102045495,CPJ,
CPJ,0.5587443447590135,GKC,
GKC,0,GKP,
RDP,1.7628968026198086,BOE,
SKG,4.995975871349046,BDC,
BDC,0.44546404455826444,SHE,
SHE,0.6020209853263319,BLY,
JP,9.615814114082475,BKI,
BKI,4.605724930212609,BTE,
BTE,0.11315780715498647,AH,
AH,0.24379224747705736,YY-IDHW,
YY-IDHW,0,IDH,
IDH,0.03068365722157691,JAB,
JAB,1.4871057729491235,ETUE,
ETUE,0,TDL,
TDL,0.44318500931331045,SKB,
SKB,0.10986321432077403,ETW,
ETW,2.5669994973173913,BPU,
BPU,0,PNKD,
PNKD,0,GOY,
CNB,0,CNBI,
CNBI,8.210074913224537,BRE,
BRE,1.5740866071030126,SFG,
SFG,0,PRYJ,
PRYJ,0,NYN,
NYN,0,PCOI,
JTHT,2.5704292743785273,SSM,
SSM,1.8695711935265504,SEB,
SEB,0.13539924019468397,CPBH,
CPBH,1.016298020890502,GAYA,
GAYA,0.18796359926967474,MPO,
MPO,2.704261579050836,KQR,
KQR,3.0628896502193372,GMO,
GMO,0.4007594363697324,DHN,
DHN,0.2067630851390056,PKA,
PKA,0.5147571661761429,ULT,
ULT,0,STN,
STN,0.3397037200464992,ASN,
ASN,0.49388683010939527,UDL,
UDL,0.7113403874942663,KAN,
CCLW,0,CCRL,
CCRL,1.3098749335256101,DDJ,
ACOI,0,LKJN,
SPR,0.31356359697586234,BRP,
BDAG,0,BHW,
JNQS,0,JMP,
JMP,3.0145702252677427,KIUL,
KIUL,0.010951457820895313,LKR,
LKR,1.5581612459640082,RDUM,
RDUM,1.519304159994719,TALL,
TALL,2.5347263361594696,BARH,
BARH,0.6277464721588237,ACU,
ACU,0.03475884651575415,BKP,
BKP,0.04063655268588362,FUT,
FUT,2.849537344388145,PNBE,
NEWC,0,BHBV,
BSB,1.223238525993668,ZBD,
ZBD,1.6918367417925153,SLN,
SLN,2.4209860885140384,UTR,
UTR,1.2193238679821472,LBH,
LBH,0,LKO,
LKO,0,LNWT,
LNWT,1.038594559378954,BLM,
BLM,5.781926445507455,ROZA,
MBWC,3.6230034741854156,GJL,
GJL,2.3244862819172103,HPU,
HPU,0.6943747559021569,GZB,
GZB,0,SBB,
SBB,0,ANVT,
SNT,3.6907986878726855,JUNC,
JUNC,0,UDL,
TDL,0,WSC,
WSC,0.007304559794102982,BRN,
BRN,0.010164145519430743,HRS,
HRS,0.6883104678949815,ALJN,
ALJN,0.39631060911183796,KRJ,
KRJ,0.012318882380732666,WAIR,
WAIR,0.0007967110278241008,DKDE,
DKDE,0.48714685425999005,GZB,
KYQ,6.389619508108427,DDNI,
DDNI,5.293972318622693,NBQ,
SMTA,1.765126284145142,APDJ,
APDJ,7.582203004389048,NMZ,
NMZ,6.950137847216829,SGUJ,
SGUJ,0.35499849935942496,NJP,
SEE,0,PMU,
PMU,1.2075960603750613,CI,
CI,0,CPR,
CPR,1.8121218078487622,DDA,
DDA,1.46765867628919,SV,
SV,3.798335355435594,BTT,
BTT,1.3046923944409923,GKC,
GKP,4.999759011350919,MUR,
MUR,0.5513205254783519,GD,
GD,1.015398905567417,BUW,
BUW,5.523835319489405,SCC,
BRYC,0.4002608502724023,RGB,
RGB,3.520525943061756,CH,
CH,1.2128254714702325,RJK,
RJK,2.024124683549015,MB,
SBB,0.6952376687200509,MWC,
MWC,0,TKJ,
PRYJ,0,ALD,
ALD,0,NYN,
NYN,0,LKJN,
MKP,0,OHAN,
KID,0.40908775744033976,MBA,
MBA,8.069416215973366,JHS,
NSZ,0,NPDC,
UJNC,2.3727080745408573,UJNC,
UJNC,2.096332766056948,DWX,
DWX,0.8998128915629752,LMNR,
LMNR,0,INDB,
INDB,0.7684966805677043,DADN,
CLA,0.36056841964371,RVJ,
RVJ,0.2167937495190933,SNRD,
BZM,3.794378559307962,KPI,
KPI,0.2598598964185686,ATA,
ATA,0.666475080781444,AIT,
AIT,2.883366886875017,JHS,
NRKR,7.082452505238233,NGP,
SEGM,0,CHJC,
KZJT,0,KZJ,
YY-MLYB,0.4002175324911423,MJF,
STDB,0.08756144274025744,STPD,
GWL,9.927632531175062,GUNA,
GUNA,3.7210048956728743,RTA,
RTA,8.399815809494422,MKC,
OKAC,0.0964079732612031,LPNR,
