station_code,err_dist
BHBV,0
BHBV,0
VYN,0.544527205014193
BBRM,0.23713561122776092
KEI,0
KEI,0
BSB,0
MAU,0
PNRA,0.08133225857555663
PPH,0.04380302003198484
NAKD,0
NAKD,0
DLR,0.04243759782303144
JKN,0.12650764066825032
HMPR,0.16932672935610465
SDT,0.2342582156441516
MHO,0.3527111915916936
ARJ,0
ARJ,0
SARR,0
SARR,0
RJI,0.833728639765938
KDQ,0.7734107183681778
SRNT,0.6586987850901977
BCY,1.8458133688944267
BSB,0
KTE,0
KTE,0
KMZ,0
KMZ,0
MJGP,4.747697622692915
HDU,9.231139217720992
PTHD,9.220058413513094
REI,8.141364765925118
BQQ,4.867058169687212
SYA,1.7056475671345241
RTGN,0.5752517353347475
SAO,2.287644697363571
GTY,3.8184431406659636
GEA,0.26327779785935884
BNU,1.7593383390408197
KYX,2.8857047356502714
DMO,0.3361701928811617
ANA,3.038818873512553
PHA,8.034737293430759
GAJ,6.862423553340674
DGD,4.003290896764946
GW,0.12137873591084793
LDA,2.014047431999448
MKRN,3.64436502728743
SGO,1.4945219088126196
RTZ,0
RTZ,0
NOI,0.8823709142391128
ISH,0.040401980810170476
JRK,0.5179103630239444
SMRR,2.7468848810277775
KYE,3.3148701278266586
BJQ,0.5818638593112616
MAKR,0
MAKR,0
MAKR,0
BINA,0
BINA,0
KIKA,3.6495723431209885
MABA,3.476600253030395
KAH,1.983102553973453
CLHT,3.963312983510781
BET,4.174683816695107
RKDI,4.493031806217181
BAQ,5.7401224606916275
PAI,3.056205821411627
GLG,0.6840744311354128
SUMR,0.7058406645160448
SORI,0
SORI,0
BHS,1.0448901611560433
BTWN,0.27280959945552175
SCI,0.42777299133978886
SMT,1.678039723567984
DWG,3.4209718622567498
BVB,1.8188118820683663
SUW,1.5921708031508708
NSZ,0
NSZ,0
NSZ,0
BPL,0
BPL,0
HBJ,0.38290682996691877
MSO,1.9510435553539598
MDDP,1.7254090510673963
ITKL,1.4117665985111232
ODG,0.905404489411546
BKA,0
BKA,0
CHQ,3.1078208697982648
MIG,3.3353723582511656
BNI,1.7374611577415193
HBD,0.4629902651175756
PRKD,0.5687031333907225
ETF,1.0635895637906367
ET,0
PUNE,0
GIT,0.3235568003748499
HDP,0
HDP,0
MJBK,0
MJBK,0
HPLX,0
HPLX,0
LONI,0
LONI,0
URI,0.4320233835106916
YT,0
YT,0
KTT,0.1647804322455542
KDG,0.25588727608255407
KDTN,0.19240546272629236
PAA,0.11741424480507699
XX-DDBC,0
XX-DDBC,0
XX-DDBC,0
DDCC,0
DDCC,0
KSTH,2.8367741627493435
SGND,5.188979046091591
BWD,0.08036843174119912
VPR,5.464124983262676
RNJD,6.217832531770754
SRL,3.7286240992576323
AKR,2.870266329222548
ANG,0
ANG,0
NNB,2.7419740988038104
